--- START ---
[Block #405] X:1800 | Y:450 | Entropy: 3.36 bits/pixel
[Block #406] X:1850 | Y:450 | Entropy: 3.31 bits/pixel
[Block #407] X:1900 | Y:450 | Entropy: 3.19 bits/pixel
[Block #414] X:200 | Y:500 | Entropy: 6.29 bits/pixel
[Block #415] X:250 | Y:500 | Entropy: 5.95 bits/pixel
[Block #416] X:300 | Y:500 | Entropy: 5.96 bits/pixel
[Block #417] X:350 | Y:500 | Entropy: 3.0 bits/pixel
[Block #418] X:400 | Y:500 | Entropy: 7.2 bits/pixel
[Block #419] X:450 | Y:500 | Entropy: 5.47 bits/pixel
[Block #420] X:500 | Y:500 | Entropy: 4.91 bits/pixel
[Block #430] X:1000 | Y:500 | Entropy: 2.67 bits/pixel
[Block #431] X:1050 | Y:500 | Entropy: 2.76 bits/pixel
[Block #432] X:1100 | Y:500 | Entropy: 2.90 bits/pixel
[Block #433] X:1150 | Y:500 | Entropy: 3.4 bits/pixel
[Block #434] X:1200 | Y:500 | Entropy: 3.42 bits/pixel
[Block #435] X:1250 | Y:500 | Entropy: 3.86 bits/pixel
[Block #436] X:1300 | Y:500 | Entropy: 3.13 bits/pixel
[Block #450] X:2000 | Y:500 | Entropy: 2.56 bits/pixel
[Block #451] X:0 | Y:550 | Entropy: 5.42 bits/pixel
[Block #452] X:50 | Y:550 | Entropy: 5.42 bits/pixel
[Block #453] X:100 | Y:550 | Entropy: 5.36 bits/pixel
[Block #454] X:150 | Y:550 | Entropy: 5.71 bits/pixel
[Block #455] X:200 | Y:550 | Entropy: 4.9 bits/pixel
[Block #456] X:250 | Y:550 | Entropy: 5.53 bits/pixel
[Block #470] X:950 | Y:550 | Entropy: 2.66 bits/pixel
[Block #471] X:1000 | Y:550 | Entropy: 3.61 bits/pixel
[Block #472] X:1050 | Y:550 | Entropy: 3.83 bits/pixel
[Block #473] X:1100 | Y:550 | Entropy: 3.34 bits/pixel
[Block #474] X:1150 | Y:550 | Entropy: 4.61 bits/pixel
[Block #475] X:1200 | Y:550 | Entropy: 6.42 bits/pixel
[Block #476] X:1250 | Y:550 | Entropy: 3.84 bits/pixel
[Block #477] X:1300 | Y:550 | Entropy: 2.51 bits/pixel
